nonce,value
1593541169,500.0
1593541445,514.61
1593541757,500.0
1593541860,1595.46
1593542059,244.65
1593542482,500.0
1593542537,4551.74
1593542592,500.0
1593542615,500.0
1593542735,500.0
1593542914,500.0
1593542980,500.0
1593543021,500.0
1593543182,1000.0
1593543358,500.0
1593543547,500.0
1593543726,500.0
1593543832,500.0
1593543992,4500.0
1593544123,4500.0
1593544189,500.0
1593544331,500.0
1593544623,500.0
1593544743,500.0
1593544927,500.0
1593545011,500.0
1593545118,500.0
1593545237,500.0
1593545326,500.0
1593545684,500.0
1593545747,500.0
1593545851,500.0
1593545916,500.0
1593546006,500.0
1593546111,500.0
1593546690,500.0
1593547442,100.0
1593547727,100.0
1593547776,400.0
1593548138,400.0
1593548392,500.0
1593548444,936.71
1593548572,500.0
1593548998,500.0
1593549202,500.0
1593549618,500.0
1593549721,500.0
1593550770,500.0
1593550902,500.0
1593551082,500.0
1593551255,500.0
1593551346,500.0
1593551488,500.0
1593551653,500.0
